mut	control	eql_notG4	eql_G4	diff_notG4	diff_G4	logOR	chisq	p
MCF-7_ZFX	ENCSR783OQM	92838	6859	278	18	-0.190370788884	99105.8796981	0.0
HepG2_APOBEC3C	ENCSR279HMU	83315	5650	841	49	-0.218998657554	87193.9141954	0.0
HepG2_SUPV3L1	ENCSR856ZRV	84008	5765	1033	87	0.295453164871	87547.0151535	0.0
K562_ABCF1	ENCSR032YMP	79483	5415	918	66	0.07765685958	82941.4070012	0.0
HepG2_CNOT7	ENCSR279HMU	81950	5499	1188	73	-0.126991804308	84945.1910987	0.0
HepG2_STAU1	ENCSR067GHD	84124	6051	763	50	-0.134411096644	88556.3335224	0.0
HepG2_TRA2A	ENCSR491FOC	84791	5632	675	47	0.0680370610953	88984.7657296	0.0
HepG2_PES1	ENCSR538QOG	86470	6282	662	43	-0.161518810907	91347.3624954	0.0
K562_RPS19	ENCSR661HEL	75465	5026	1439	113	0.237653199688	77416.9800774	0.0
HepG2_RECQL	ENCSR603TCV	86034	6061	906	56	-0.188733150743	90181.0582391	0.0
HepG2_NELFE	ENCSR603TCV	85859	6040	1085	72	-0.0842054107419	89599.5694208	0.0
HepG2_SF3B4	ENCSR603TCV	85138	6002	1725	111	-0.131676804477	87505.0034253	0.0
HepG2_EIF4A3	ENCSR237YZT	84807	5907	1680	104	-0.170119966332	87181.1113196	0.0
K562_RRP9	ENCSR661HEL	76146	5048	731	44	-0.139311539775	79651.4011029	0.0
HepG2_HDGF	ENCSR538QOG	86690	6287	663	40	-0.265515050416	91576.3250782	0.0
K562_PTBP1	ENCSR129RWD	79941	5307	628	31	-0.427457272498	83935.11452	0.0
K562_AGGF1	ENCSR143COQ	77869	5753	2484	96	-0.934824233654	78542.8408737	0.0
K562_SRSF4	ENCSR772DUM	74753	4901	1157	64	-0.245189722015	77230.7433769	0.0
HepG2_RBM15	ENCSR585KOJ	86251	6197	880	47	-0.427871551689	90603.3349094	0.0
HepG2_UPF2	ENCSR856ZRV	81878	5645	473	24	-0.442303496052	86531.834505	0.0
K562_PSIP1	ENCSR572FFX	74826	5316	1030	41	-0.835749972662	78014.494442	0.0
K562_FKBP4	ENCSR572FFX	73422	4763	873	44	-0.364136265121	76361.7865842	0.0
HepG2_CKAP4	ENCSR538QOG	85821	6163	1338	99	0.0431202349163	89132.450506	0.0
K562_EIF4B	ENCSR913CAE	77293	5558	642	29	-0.670748468499	81514.4838015	0.0
K562_TFIP11	ENCSR661HEL	75795	5075	738	52	0.0735856653473	79297.7185589	0.0
HepG2_DDX27	ENCSR856ZRV	84842	5736	348	24	0.0286807059717	89835.5278246	0.0
HepG2_NAA15	ENCSR067GHD	83495	5915	790	55	-0.025109397142	87727.9861107	0.0
HepG2_FKBP4	ENCSR856ZRV	84251	5703	503	39	0.195888501406	88873.2697403	0.0
HepG2_LARP7	ENCSR674KEK	84904	5760	772	51	-0.0383398884019	89025.4710669	0.0
HepG2_AGGF1	ENCSR853AOV	82097	5528	799	37	-0.540098344335	85961.0238277	0.0
HepG2_SFPQ	ENCSR104ABF	78858	5314	1322	66	-0.432725353874	81418.98214	0.0
K562_CPSF6	ENCSR424QCW	74956	4875	1138	49	-0.595005156017	77474.7699022	0.0
K562_HNRNPF	ENCSR163JUC	81438	5859	457	32	-0.0390745787805	86321.7392892	0.0
HepG2_RBM14	ENCSR521WAI	79399	4977	802	56	0.155669040766	82668.7310065	0.0
HepG2_TRIM56	ENCSR305XWT	82476	5411	1038	68	-0.00212066834301	85688.9182832	0.0
HepG2_CSTF2	ENCSR856ZRV	80415	5320	420	35	0.333003984261	84827.4238838	0.0
HepG2_NPM1	ENCSR104ABF	79401	5242	1213	61	-0.39265857912	82114.2407059	0.0
K562_LSM11	ENCSR572FFX	75721	5303	695	42	-0.212738934483	79556.7116517	0.0
HepG2_GPKOW	ENCSR264TUE	82577	5780	1303	96	0.0739397410613	85581.1547771	0.0
HepG2_U2AF1	ENCSR067GHD	81489	5728	3623	244	-0.0617298239793	79654.472393	0.0
K562_FIP1L1	ENCSR032YMP	76805	5259	930	51	-0.320321732608	80113.7555663	0.0
HepG2_PTBP1	ENCSR603TCV	85290	6017	1430	78	-0.371136874947	88315.9869822	0.0
K562_EFTUD2	ENCSR661HEL	75384	5040	1696	123	0.117356760762	76827.158636	0.0
HepG2_SRSF3	ENCSR264TUE	82416	5646	1724	85	-0.474529711678	84481.3427616	0.0
HepG2_DNAJC21	ENCSR305XWT	81642	5349	787	41	-0.330697404901	85342.900666	0.0
HepG2_HNRNPD	ENCSR279HMU	82425	5525	733	52	0.0818059422862	86387.0079316	0.0
HepG2_PSIP1	ENCSR674KEK	85889	5837	751	39	-0.388092478032	90152.8272058	0.0
K562_HNRNPU	ENCSR898NWE	76304	4538	1249	122	0.715809749677	78123.7244097	0.0
HepG2_GTF2F1	ENCSR491FOC	84847	5598	620	46	0.169317808962	89117.9085	0.0
K562_ILF2	ENCSR419JMU	77916	5290	1199	69	-0.238511498889	80689.350652	0.0
K562_FXR1	ENCSR913CAE	76210	5234	1685	99	-0.225181770134	77915.1278455	0.0
HepG2_SNRNP70	ENCSR264TUE	81939	5545	1751	123	0.0538420573919	83776.1464955	0.0
K562_SERBP1	ENCSR661HEL	74843	4894	830	57	0.070703869995	77972.8684758	0.0
